,OBJECTID,YEAR_,AGENCY,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,DECADES,Shape__Area,Shape__Length
0,21440,2020.0,2.0,11.0,1.0,1.0,109.6023,2020.0,733134.73046875,4179.74314204583
1,21441,2020.0,2.0,2.0,1.0,1.0,685.585,2020.0,4578171.9140625,12399.3753905116
2,21442,2020.0,2.0,14.0,1.0,1.0,27.30048,2020.0,182387.64453125,2119.19412003875
3,21443,2020.0,2.0,9.0,1.0,1.0,12.93155,2020.0,86679.4453125,2029.52488137503
4,21444,2020.0,2.0,18.0,1.0,1.0,10.31596,2020.0,70179.1328125,1342.74290294001
5,21445,2020.0,2.0,14.0,1.0,1.0,36.70193,2020.0,244431.52734375,3012.19835361045
6,21446,2020.0,5.0,14.0,1.0,1.0,376.9104,2020.0,2538316.87890625,9803.35036420332
7,21447,2020.0,2.0,9.0,1.0,1.0,10.10221,2020.0,68043.03125,1425.98634226764
8,21448,2020.0,2.0,5.0,1.0,1.0,33.97389,2020.0,230549.78125,2477.15181547552
9,21449,2020.0,2.0,7.0,3.0,1.0,1309.09,2020.0,8877495.796875,15221.4105433282
10,21450,2020.0,2.0,8.0,1.0,1.0,194.6603,2020.0,1296860.60546875,7757.24683769613
11,21451,2020.0,2.0,8.0,1.0,1.0,22.6343,2020.0,150787.44140625,1693.89812956216
12,21452,2020.0,2.0,5.0,1.0,1.0,55.32843,2020.0,373125.2734375,3143.53099864593
13,21453,2020.0,2.0,1.0,3.0,1.0,705.546,2020.0,4770841.82421875,15226.0547698771
14,21454,2020.0,5.0,11.0,1.0,1.0,532.7733,2020.0,3589054.9921875,10122.6892482165
15,21455,2020.0,2.0,11.0,1.0,1.0,13.69472,2020.0,91856.8515625,1743.67087360593
16,21456,2020.0,2.0,14.0,1.0,1.0,103.3316,2020.0,703657.63671875,5758.36450762757
17,21458,2020.0,2.0,1.0,1.0,1.0,925.4019,2020.0,6307904.03515625,16613.4839078942
18,21459,2020.0,2.0,1.0,1.0,1.0,260.1756,2020.0,1780346.8984375,7022.5749273688
19,21460,2020.0,2.0,14.0,1.0,1.0,13.27956,2020.0,90049.49609375,1648.63306678697
20,21461,2020.0,2.0,7.0,7.0,1.0,20.2083,2020.0,128343.16015625,1702.00092173474
21,21462,2020.0,2.0,1.0,7.0,1.0,86553.46,2020.0,552318495.832031,255052.19325976
